JobID,SubmitTime,WaitTime,RunTime ,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID
1,1136070024,203761,138467,1,138371,98652,1,259200,-1,1,20041,3,1,5,1,2,2
2,1136070690,0,11,1,4,35848,1,259200,-1,1,10230,1,1,1,1,1,1
3,1136071207,117,201203,1,0,0,1,259200,-1,1,20351,6,1,2,1,2,2
4,1136071267,4406,196985,1,0,0,1,259200,-1,1,20351,6,1,2,1,2,2
5,1136071269,202516,19520,1,18731,522268,1,259200,-1,1,20351,6,1,2,1,2,2
6,1136072890,1,46,1,3,49216,1,900,-1,1,10180,1,1,2,1,1,1
7,1136074263,2629516,21,1,0,35712,1,5400,-1,1,50053,1,1,5,1,15,15
8,1136074695,1,197831,1,0,0,1,259200,-1,1,10330,6,1,4,1,1,1
9,1136074754,2,197682,1,0,0,1,259200,-1,1,10330,6,1,4,1,1,1
10,1136074756,2,197552,1,0,0,1,259200,-1,1,10330,6,1,4,1,1,1
11,1136074814,1,197495,1,0,0,1,259200,-1,1,10330,6,1,4,1,1,1
12,1136076162,197623,18799,1,18198,480484,1,259200,-1,1,20351,6,1,2,1,2,2
13,1136076694,2627085,21,1,0,35720,1,5400,-1,1,50053,1,1,2,1,15,15
14,1136077528,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,3,1,1,1
15,1136077551,975,193984,1,0,0,1,259200,-1,1,20371,4,1,1,1,2,2
16,1136077775,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,2,1,1,1
17,1136077783,196002,2,1,0,0,1,900,-1,1,20311,1,1,3,1,2,2
18,1136077889,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,3,1,1,1
19,1136078195,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,2,1,1,1
20,1136078435,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,2,1,1,1
21,1136078608,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,3,1,1,1
22,1136078676,117,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,2,1,1,1
23,1136078802,194983,2,1,0,6376,1,5400,-1,1,20231,1,1,4,1,2,2
24,1136079148,58,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,3,1,1,1
25,1136203888,2499978,20,1,0,35752,1,5400,-1,1,50053,1,1,2,1,15,15
26,1136204188,2499722,20,1,0,0,1,172800,-1,1,50053,1,1,6,1,15,15
27,1136212017,2491849,20,1,0,0,1,5400,-1,1,50053,1,1,5,1,15,15
28,1136229063,2474476,21,1,0,0,1,900,-1,1,50053,1,1,3,1,15,15
29,1136237461,2466405,20,1,0,35760,1,5400,-1,1,50053,1,1,2,1,15,15
30,1136247692,27481,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,2,1,15,15
31,1136250422,24752,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,1,1,15,15
32,1136260866,14307,-1,0,-1,-1,1,-1,-1,5,-1,-1,-1,1,1,15,15
